case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,exposure_usd,n_txns,txn_ids,first_fraud_txn_id,connected_card_ids,actions_taken,report_filed,analyst_notes
CC-0001,C00001,C00001-K1,2016-07-17 21:22:26,2016-07-19 21:22:26,confirmed_fraud,card_not_present_new_device,114.95,1,3000005,3000005.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00001 disputed a $114.95 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0002,C00002,C00002-K1,2016-09-11 19:21:15,2016-09-13 19:21:15,confirmed_fraud,account_takeover,147.82,1,3000094,3000094.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00002 disputed a $147.82 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0003,C00004,C00004-K1,2016-08-31 20:09:44,2016-09-02 20:09:44,confirmed_fraud,out_of_region_use,44.76,1,3000219,3000219.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00004 disputed a $44.76 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0004,C00004,C00004-K1,2016-10-05 22:03:35,2016-10-07 22:03:35,confirmed_fraud,out_of_region_use,90.34,1,3000235,3000235.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00004 disputed a $90.34 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0005,C00004,C00004-K1,2016-10-20 03:50:20,2016-10-22 03:50:20,confirmed_fraud,card_not_present_fraud,99.41,1,3000241,3000241.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00004 disputed a $99.41 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0006,C00005,C00005-K1,2016-10-26 08:13:20,2016-10-28 08:13:20,confirmed_fraud,card_not_present_new_device,129.15,1,3000337,3000337.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00005 disputed a $129.15 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0007,C00005,C00005-K1,2016-07-29 05:58:52,2016-07-31 05:58:52,confirmed_fraud,account_takeover,159.02,1,3000298,3000298.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00005 disputed a $159.02 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0008,C00005,C00005-K1,2016-09-19 23:50:37,2016-09-21 23:50:37,confirmed_fraud,account_takeover,129.75,1,3000323,3000323.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00005 disputed a $129.75 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0009,C00007,C00007-K1,2016-08-13 16:37:10,2016-08-15 16:37:10,cleared,none,0.0,0,3000437,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00007 disputed a $83.63 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0010,C00007,C00007-K1,2016-10-23 19:51:41,2016-10-25 19:51:41,confirmed_fraud,out_of_region_use,50.44,1,3000469,3000469.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00007 disputed a $50.44 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0011,C00008,C00008-K1,2016-08-08 23:20:01,2016-08-10 23:20:01,confirmed_fraud,card_not_present_new_device,114.96,1,3000482,3000482.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00008 disputed a $114.96 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0012,C00010,C00010-K1,2016-08-01 10:44:43,2016-08-03 10:44:43,cleared,none,0.0,0,3000619,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00010 disputed a $183.34 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0013,C00010,C00010-K1,2016-07-24 22:58:13,2016-07-26 22:58:13,confirmed_fraud,out_of_region_use,89.63,1,3000615,3000615.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00010 disputed a $89.63 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0014,C00011,C00011-K1,2016-10-23 04:35:34,2016-10-25 04:35:34,confirmed_fraud,card_not_present_fraud,66.78,1,3000741,3000741.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00011 disputed a $66.78 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0015,C00011,C00011-K1,2016-07-17 09:27:39,2016-07-19 09:27:39,confirmed_fraud,card_not_present_fraud,27.33,1,3000699,3000699.0,,CREATE_CASE|BLOCK_CARD,Yes,Cardholder C00011 disputed a $27.33 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0016,C00013,C00013-K1,2016-09-30 08:25:14,2016-10-02 08:25:14,cleared,none,0.0,0,3000828,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00013 disputed a $25.68 in_person transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0017,C00013,C00013-K1,2016-08-21 05:35:21,2016-08-23 05:35:21,confirmed_fraud,card_not_present_fraud,86.82,1,3000811,3000811.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00013 disputed a $86.82 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0018,C00014,C00014-K1,2016-07-12 20:12:47,2016-07-14 20:12:47,confirmed_fraud,card_not_present_fraud,51.28,1,3000838,3000838.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00014 disputed a $51.28 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0019,C00014,C00014-K1,2016-07-27 07:27:08,2016-07-29 07:27:08,confirmed_fraud,card_not_present_new_device,115.15,1,3000843,3000843.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00014 disputed a $115.15 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0020,C00014,C00014-K1,2016-09-03 22:00:45,2016-09-05 22:00:45,cleared,none,0.0,0,3000859,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00014 disputed a $108.66 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0021,C00016,C00016-K1,2016-07-23 01:03:03,2016-07-25 01:03:03,cleared,none,0.0,0,3000963,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00016 disputed a $58.22 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0022,C00016,C00016-K1,2016-08-19 07:39:45,2016-08-21 07:39:45,confirmed_fraud,card_not_present_new_device,43.22,1,3000975,3000975.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00016 disputed a $43.22 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0023,C00017,C00017-K1,2016-08-15 07:14:14,2016-08-17 07:14:14,confirmed_fraud,account_takeover,70.23,1,3001063,3001063.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00017 disputed a $70.23 in_person transaction. Confirmed fraudulent; card blocked and reissued.
CC-0024,C00019,C00019-K1,2016-09-04 11:29:55,2016-09-06 11:29:55,cleared,none,0.0,0,3001206,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00019 disputed a $74.35 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0025,C00019,C00019-K1,2016-07-25 22:39:24,2016-07-27 22:39:24,confirmed_fraud,account_takeover,51.67,1,3001190,3001190.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00019 disputed a $51.67 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0026,C00020,C00020-K1,2016-08-10 10:14:18,2016-08-12 10:14:18,confirmed_fraud,out_of_region_use,39.25,1,3001263,3001263.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00020 disputed a $39.25 online transaction. Confirmed fraudulent; card blocked and reissued.
CC-0027,C00020,C00020-K1,2016-08-15 16:57:46,2016-08-17 16:57:46,cleared,none,0.0,0,3001265,,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Cardholder C00020 disputed a $53.36 online transaction. Cardholder recognised the charge on review; closed with no fraud.
CC-0028,C00020,C00020-K1,2016-08-10 10:14:18,2016-08-12 10:14:18,confirmed_fraud,card_not_present_new_device,39.25,1,3001263,3001263.0,,CREATE_CASE|BLOCK_CARD,No,Cardholder C00020 disputed a $39.25 online transaction. Confirmed fraudulent; card blocked and reissued.
